Date,Close,High,Low,Open,Volume
2025-01-02T00:00:00,73.12999725341797,73.7300033569336,71.79000091552734,71.8499984741211,306498
2025-01-03T00:00:00,73.95999908447266,74.3499984741211,72.69999694824219,73.12999725341797,296040
2025-01-06T00:00:00,73.55999755859375,74.98999786376953,73.19999694824219,74.05000305175781,306042
2025-01-07T00:00:00,74.25,74.52999877929688,73.11000061035156,73.44000244140625,277328
2025-01-08T00:00:00,73.31999969482422,75.29000091552734,73.16000366210938,74.5199966430664,328617
2025-01-09T00:00:00,73.91999816894531,74.31999969482422,72.83999633789062,73.31999969482422,213421
2025-01-10T00:00:00,76.56999969482422,77.86000061035156,74.0199966430664,74.29000091552734,478432
2025-01-13T00:00:00,78.81999969482422,79.2699966430664,76.54000091552734,76.54000091552734,460942
2025-01-14T00:00:00,77.5,79.08999633789062,77.41000366210938,78.81999969482422,326729
...
